location,area,price,price_currency,status,new/resale,price_negotiable,description,security_deposit,facing,furnished,age of property,Lift(s),Full Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,locality_score,project_score,builder_experience,Intercom,Indoor Games,ATM,Maintenance Staff,Staff Quarter,Multipurpose Room,Car Parking,Hospital,School,Shopping Mall,Vaastu Compliant,Cafeteria,Rain Water Harvesting,Golf Course,city,property_type
Dhakoli,1655.0,7000000.0,INR,,1.0,0.0,"A spacious 3 bhk builder floor is available for sale in Dhakoli, Chandigarh. It is a semi-furnished property. It is northeast facing property. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Contact us for more details. ",1.0,northeast,0.0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,Chandigarh,builderfloor
Dhakoli,1349.0,4000000.0,INR,1.0,1.0,0.0,"Check out this 3 BHK Independent Floor for sale in Dhakoli, Zirakpur. This 3 BHK Independent Floor is perfect for a modern-day lifestyle. Dhakoli is a promising location in Zirakpur and this is one of the finest properties in the area. Buy this Independent Floor for sale now. It is located on floor 1. The total number of floors in this project is 3. This property is a modern-day abode, with 1349 Square feet built-up area. The unit has 3 bedrooms and 3 bathroom. Educational institutions are closeby with schools such as National Open School Govt Of India Regl Centre and Little Flower Convent Schools nearby. Healthcare centres such as Kaushal Gynae and Medical Centre, Sigma Medical Aids, and Surya Medicare Limited are also easily accessible",1.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Chandigarh,builderfloor
Dhakoli,900.0,2400000.0,INR,,1.0,0.0,This spacious 2 bhk builder floor is available for sale and is located in the heart of Dhakoli. It has a built-up area of 900 sqft and is priced at Rs. 24.00 lac . The house is unfurnished. It is facing southwest direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. ,1.0,southwest,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Chandigarh,builderfloor
Sector 22,1125.0,15000000.0,INR,,0.0,0.0,"Well designed 2 bhk builder floor is available at a prime location in Sector 22. It has a built-up area of 1125 sqft and is priced at Rs. 1.50 cr . It is a semi-furnished property. It is facing east direction. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1.0,east,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Chandigarh,builderfloor
Sector 80,1300.0,7200000.0,INR,,0.0,0.0,It’s a 2 bhk builder floor situated in Sector 80. The house is semi-furnished. Its main door is facing east direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. Please contact for more details. ,1.0,east,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Chandigarh,builderfloor
Preet Colony,855.0,2790000.0,INR,,1.0,0.0,"Well designed 2 bhk builder floor is available at a prime location in Preet Colony. It has a salable area of 855 sqft and is available at a price of Rs. 3,263 per sqft. The house is semi-furnished. Its main door is facing southwest direction. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. Please contact for more details. ",1.0,southwest,0.0,6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,Chandigarh,builderfloor
New chandigarh mohali,1778.0,10600000.0,INR,0.0,1.0,0.0,"The house is semi-furnished. It has club house as well as power backup. The project also has swimming pool, lift available and gymnasium. It is facing west direction. This residential complex is under-construction as of now. . The society is well connected by different modes of transportation. ",1.0,west,0.0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,,,,,,,,,,,,,,Chandigarh,builderfloor
Sunny Enclave,1350.0,3490000.0,INR,,1.0,0.0,Well designed 3 bhk builder floor is available at a prime location in Sunny Enclave. It has an area of 1350 sqft with a carpet area of 1250 sqft . The property is available at a price of Rs. 34.90 lac . Its main door is facing northeast direction. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Kindly call us for details. ,1.0,northeast,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Chandigarh,builderfloor
Sector 71,1350.0,5500000.0,INR,,0.0,0.0,It has a built-up area of 1350 sqft and is priced at Rs. 55.00 lac . The house is unfurnished. It is north facing property. It is a ready-to-move-in property. It is made in way to provide a comfortable living. ,1.0,north,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Chandigarh,builderfloor
Sector 50,1500.0,18500000.0,INR,,0.0,0.0,"A 3 bhk property is available for sale in Sector 50, Chandigarh. It has an area of 1500 sqft with a carpet area of 1480 sqft . The property is available at a price of Rs. 1.85 cr . It is a semi-furnished property. It is southeast facing property. It is a ready-to-move-in property. It is made in way to provide a comfortable living. It is well connected to the city areas. ",1.0,southeast,0.0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,Chandigarh,builderfloor
New chandigarh mohali,1995.0,12500000.0,INR,1.0,0.0,0.0,"Property for sale in Devi Nagar, Mohali. This 3 BHK Independent Floor is located in Mohali's most promising location. It is on floor 1. The total number of floors in this building is 3. The built-up area is 1995 Square feet. The property has 3 bedrooms and 3 bathroom. It also has a servant room. This unit enjoys a good view and is a North facing property. This residential building in Devi Nagar, Mohali has lift facility. Kids too have access to a kids area. Other amenities include Gym, Garden, Swimming Pool, Clubhouse. This property also enjoys power backup facility. Regular water supply is available. This is a gated community. This Independent Floor is strategically located within close distance of famous healthcare centres such as PHC, Mullanpur Garibdas and Dashmesh Eye Centre. Schools like Bajwa Institute, Guru Gobind Singh Vidya Mandir Sr. Sec School, and International Divine School Of Nursing are also nearby",1.0,north,0.0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Chandigarh,builderfloor
Sector 15,2250.0,28500000.0,INR,,1.0,0.0,"Newly built property 
High class material 
Great location  More About This Property 3 BHK Independent Floor for sale in Sector 15, Chandigarh - contact now, for details about the most coveted property. This 3 BHK unit is available in Sector 15 and offers a premium lifestyle at the best price. It is a desired purchase for any homebuyer in Sector 15. It is on floor 0. The total number of floors is 2. The price of this Independent Floor is Rs 2.85 Cr. It is a good, spacious Independent Floor unit with carpet area of 1687 Square feet. The built-up area is 2250 Square feet. There are 3 bedrooms and 3 bathroom. This property is at a walking distance from Post Graduate Institute of Medical Education & Research, Chandigarh, New OPD PGI, and PGI Emergency. The city's best schools such as Govt Sr Secondary School, D.A.V. Model School, and Extreme Martial Arts Chandigarh are near your residential property",1.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Chandigarh,builderfloor
Dhakoli,1150.0,3000000.0,INR,1.0,1.0,0.0,,1.0,north,0.0,122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Chandigarh,builderfloor
Lohgarh,1300.0,4890000.0,INR,,1.0,0.0,Well designed 3 bhk builder floor is available at a prime location in Lohgarh. It has a built-up area of 1300 sqft and is priced at Rs. 48.90 lac . It is a semi-furnished property. It is northwest facing property. This residential complex is under-construction as of now. . It is made in way to provide a comfortable living. It is well connected to the city areas. Please contact us for more details. ,1.0,northwest,0.0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,,,,,,,,,,,,,,Chandigarh,builderfloor
Sector 78,1836.0,11000000.0,INR,,0.0,0.0,This spacious 3 bhk builder floor is available for sale and is located in the heart of Sector 78. It has an area of 1836 sqft with a carpet area of 1440 sqft . The property is available at a price of Rs. 1.10 cr . The house is unfurnished. It is east facing property. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. Kindly call us for details. ,1.0,east,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Chandigarh,builderfloor
Sector 79,1350.0,5800000.0,INR,,0.0,0.0,"Well designed 2 bhk builder floor is available at a prime location in Sector 79. It has a salable area of 1350 sqft and is available at a price of Rs. 4,296 per sqft. The house is semi-furnished. It is facing north direction. It is a 6 year old ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. Please contact us for more details. ",1.0,north,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Chandigarh,builderfloor
Sector 63,1050.0,5500000.0,INR,,0.0,0.0,"A 2 bhk property is available for sale in Sector 63, Chandigarh. It has an area of 1050 sqft with a carpet area of 950 sqft . The property is available at a price of Rs. 55.00 lac . The house is semi-furnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. It is well connected to the city areas. Kindly call us for details. ",1.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Chandigarh,builderfloor
New chandigarh mohali,2700.0,7500000.0,INR,,0.0,0.0,"A spacious 3 bhk builder floor is available for sale in New chandigarh mohali, Chandigarh. It has a salable area of 2700 sqft and is available at a price of Rs. 2,777 per sqft. It is a semi-furnished property. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact for more details. ",1.0,southeast,0.0,0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,Chandigarh,builderfloor
Dhakoli,1755.0,6900000.0,INR,,1.0,0.0,"It’s a 3 bhk builder floor situated in Dhakoli, Chandigarh. It has a salable area of 1755 sqft and is available at a price of Rs. 3,931 per sqft. It is a semi-furnished property. Furnishings include 1 tv, 1 sofa, 1 sofa, 1 dining table and 1 ac. It is facing northeast direction. This residential complex is under-construction as of now. . It is well connected to the city areas. If you are interested, please contact us for more details. ",1.0,northeast,0.0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,,,,,,,,,,,,,,Chandigarh,builderfloor
New chandigarh mohali,1640.0,6500000.0,INR,1.0,0.0,0.0,"A spacious 3 bhk builder floor is available for sale in New chandigarh mohali, Chandigarh. It has a built-up area of 1640 sqft and is priced at Rs. 65.00 lac . It is a semi-furnished property. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Please contact for more details. ",1.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Chandigarh,builderfloor
Sector 51,1100.0,13500000.0,INR,,0.0,0.0,"A spacious 2 bhk builder floor is available for sale in Sector 51, Chandigarh. It has a salable area of 1100 sqft and is available at a price of Rs. 12,272 per sqft. It is a semi-furnished property. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. Contact us for more details. ",1.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Chandigarh,builderfloor
Sector 60,1100.0,7500000.0,INR,1.0,0.0,0.0,"Well designed 2 bhk builder floor is available at a prime location in Sector 60. It has an area of 1100 sqft . The property is available at a price of Rs. 75.00 lac . The house is semi-furnished. It is facing northeast direction. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Kindly call us for details. ",1.0,northeast,0.0,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Chandigarh,builderfloor
New chandigarh mohali,4093.0,27500000.0,INR,,1.0,0.0,"It’s a 5 bhk builder floor situated in New chandigarh mohali, Chandigarh. The house is semi-furnished. It has gymnasium as well as swimming pool. The project also has power backup, lift available and club house. It is facing east direction. It is an under-construction property . It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1.0,east,0.0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,Chandigarh,builderfloor
